"city","horizon","date","forecasted_customers","Juniors","Experts","PR_raw","Promotion","Fj","Fx","W","is_weekend","assisted_customers","customers_by_experts","customers_by_juniors","units_expert","units_junior","profit_client_expert","profit_client_junior","total_units","revenue","cost_junior","cost_expert","hr_cost","daily_profit","total_hr"
"baltimore_multi",2,2014-02-10,53,3,1,0.00850197672843933,0.01,1,1.15,700,FALSE,25,7,18,17,15,18,16,389,414,60,80,260,154,4
"baltimore_multi",1,2014-03-09,87,1,2,0.00748033821582794,0.01,1,1.15,700,FALSE,20,14,6,17,15,18,16,328,348,60,80,220,128,3
"baltimore_multi",3,2014-03-18,56,2,2,0.000840425491333008,0,1,1.15,700,FALSE,26,14,12,17,14,18,15,406,432,60,80,280,152,4
"baltimore_multi",4,2014-04-02,71,2,2,0.0269200354814529,0.03,1,1.15,700,FALSE,26,14,12,17,15,18,16,418,444,60,80,280,164,4
"baltimore_multi",5,2014-04-10,71,2,1,0.0153562277555466,0.02,1,1.15,700,FALSE,19,7,12,17,15,18,16,299,318,60,80,200,118,3
"baltimore_multi",7,2014-04-12,155,2,1,0.0171056538820267,0.02,1,1.15,700,FALSE,19,7,12,17,15,18,16,299,318,60,80,200,118,3
"baltimore_multi",6,2014-05-02,95,2,1,0.0208549499511719,0.02,1,1.15,700,FALSE,19,7,12,17,15,18,16,299,318,60,80,200,118,3
"lancaster_multi",5,2014-03-06,74,2,1,0.0266347080469131,0.03,1.05,1.2,730,FALSE,19,7,12,18,15,19,16,306,325,60,80,200,125,3
"lancaster_multi",7,2014-03-08,153,1,1,0.00219421088695526,0,1.05,1.2,730,FALSE,13,7,6,17,15,18,16,209,222,60,80,140,82,2
"lancaster_multi",3,2014-04-08,85,2,2,0.0331538915634155,0.03,1.05,1.2,730,FALSE,26,14,12,18,16,19,17,444,470,60,80,280,190,4
"lancaster_multi",1,2014-04-27,130,2,1,0.0316533446311951,0.03,1.05,1.2,730,FALSE,19,7,12,18,16,19,17,318,337,60,80,200,137,3
"lancaster_multi",6,2014-05-09,112,2,1,0.0144351571798325,0.01,1.05,1.2,730,FALSE,19,7,12,17,15,18,16,299,318,60,80,200,118,3
"lancaster_multi",4,2014-05-14,77,1,1,0.0129700005054474,0.01,1.05,1.2,730,FALSE,13,7,6,17,15,18,16,209,222,60,80,140,82,2
"lancaster_multi",2,2014-06-02,71,4,1,0.0128626674413681,0.01,1.05,1.2,730,FALSE,31,7,24,17,15,18,16,479,510,60,80,320,190,5
"philadelphia_multi",6,2014-01-24,201,2,1,0.0150466710329056,0.02,1.1,1.15,760,FALSE,19,7,12,17,16,18,17,311,330,60,80,200,130,3
"philadelphia_multi",2,2014-03-24,132,3,2,0.0156159996986389,0.02,1.1,1.15,760,FALSE,32,14,18,17,16,18,17,526,558,60,80,340,218,5
"philadelphia_multi",5,2014-05-01,157,1,1,0.0046936571598053,0,1.1,1.15,760,FALSE,13,7,6,17,16,18,17,215,228,60,80,140,88,2
"philadelphia_multi",1,2014-05-04,230,2,1,0.00583529472351074,0.01,1.1,1.15,760,FALSE,19,7,12,17,16,18,17,311,330,60,80,200,130,3
"philadelphia_multi",4,2014-05-07,128,3,2,0.00863902270793915,0.01,1.1,1.15,760,FALSE,32,14,18,17,16,18,17,526,558,60,80,340,218,5
"philadelphia_multi",7,2014-05-17,321,2,1,0.00296439230442047,0,1.1,1.15,760,FALSE,19,7,12,17,16,18,17,311,330,60,80,200,130,3
"philadelphia_multi",3,2014-05-20,167,2,1,0.00688740611076355,0.01,1.1,1.15,760,FALSE,19,7,12,17,16,18,17,311,330,60,80,200,130,3
"richmond_multi",2,2014-02-03,39,2,1,0.0292875170707703,0.03,1.15,1.25,800,FALSE,19,7,12,18,17,19,18,330,349,60,80,200,149,3
"richmond_multi",5,2014-03-13,38,2,2,0.00432083010673523,0,1.15,1.25,800,FALSE,26,14,12,18,17,19,18,456,482,60,80,280,202,4
"richmond_multi",7,2014-04-12,99,1,1,0.00652788579463959,0.01,1.15,1.25,800,FALSE,13,7,6,18,17,19,18,228,241,60,80,140,101,2
"richmond_multi",1,2014-04-13,73,1,1,0.0355064570903778,0.04,1.15,1.25,800,FALSE,13,7,6,19,17,20,18,235,248,60,80,140,108,2
"richmond_multi",6,2014-05-09,60,5,1,0.00446949899196625,0,1.15,1.25,800,FALSE,37,7,30,18,17,19,18,636,673,60,80,380,293,6
"richmond_multi",3,2014-05-13,40,2,1,0.00226500630378723,0,1.15,1.25,800,FALSE,19,7,12,18,17,19,18,330,349,60,80,200,149,3
"richmond_multi",4,2014-05-14,40,3,2,0.0354146361351013,0.04,1.15,1.25,800,FALSE,32,14,18,19,17,20,18,572,604,60,80,340,264,5
